iter	Passed	Remaining
0	60	60183
1	60	30290
2	61	20329
3	61	15323
4	61	12324
5	62	10313
6	62	8879
7	62	7802
8	63	6964
9	63	6294
10	63	5752
11	64	5301
12	64	4921
13	65	4599
14	65	4311
15	66	4062
16	66	3841
17	66	3646
18	67	3475
19	67	3316
20	68	3175
21	68	3040
22	68	2917
23	69	2810
24	69	2711
25	69	2620
26	70	2530
27	70	2448
28	70	2373
29	71	2306
30	71	2239
31	71	2176
32	72	2117
33	72	2063
34	73	2012
35	73	1963
36	73	1921
37	74	1876
38	74	1834
39	74	1796
40	75	1758
41	75	1722
42	75	1689
43	76	1658
44	76	1626
45	76	1594
46	77	1564
47	77	1537
48	77	1509
49	78	1485
50	78	1460
51	78	1437
52	79	1415
53	84	1475
54	84	1453
55	85	1433
56	85	1412
57	85	1394
58	86	1376
59	86	1356
60	86	1337
61	87	1319
62	87	1302
63	87	1286
64	88	1270
65	88	1254
66	88	1238
67	89	1224
68	89	1210
69	89	1195
70	90	1182
71	90	1170
72	91	1156
73	91	1144
74	91	1133
75	92	1120
76	92	1108
77	92	1097
78	93	1085
79	93	1074
80	93	1063
81	93	1052
82	94	1040
83	94	1031
84	94	1021
85	95	1012
86	95	1003
87	95	994
88	96	985
89	96	975
90	96	966
91	97	959
92	97	952
93	98	945
94	98	938
95	98	931
96	99	924
97	99	917
98	100	911
99	100	903
100	100	897
101	101	891
102	101	885
103	102	879
104	102	873
105	102	866
106	102	859
107	103	852
108	103	846
109	103	841
110	104	835
111	104	829
112	104	823
113	105	817
114	105	811
115	105	806
116	106	800
117	106	794
118	106	789
119	107	785
120	107	781
121	107	775
122	108	770
123	108	765
124	108	761
125	109	756
126	109	750
127	109	747
128	110	743
129	110	738
130	110	735
131	111	731
132	111	727
133	111	722
134	112	718
135	112	714
136	112	710
137	113	705
138	113	702
139	113	698
140	113	694
141	114	689
142	114	686
143	114	682
144	115	678
145	115	675
146	115	671
147	116	667
148	116	665
149	116	661
150	117	658
151	117	655
152	117	653
153	118	650
154	118	646
155	119	644
156	119	641
157	119	638
158	120	635
159	120	632
160	120	629
161	121	626
162	121	623
163	121	621
164	122	618
165	122	615
166	122	612
167	123	610
168	123	607
169	124	605
170	124	602
171	124	599
172	124	596
173	125	594
174	125	591
175	125	588
176	126	586
177	126	583
178	126	581
179	127	578
180	127	576
181	127	574
182	128	571
183	128	569
184	128	567
185	129	565
186	129	562
187	129	560
188	129	557
189	130	555
190	130	552
191	130	550
192	131	547
193	131	545
194	131	543
195	131	541
196	132	538
197	132	536
198	132	534
199	132	531
200	133	529
201	133	527
202	133	524
203	133	522
204	134	520
205	134	518
206	134	516
207	134	513
208	135	511
209	135	509
210	135	507
211	136	505
212	136	503
213	136	501
214	136	499
215	137	497
216	137	495
217	137	493
218	137	491
219	138	489
220	138	487
221	138	485
222	138	483
223	139	482
224	139	480
225	139	478
226	139	476
227	140	474
228	140	472
229	140	471
230	140	469
231	141	467
232	141	465
233	141	464
234	142	463
235	142	462
236	143	460
237	143	459
238	143	457
239	144	456
240	144	455
241	144	453
242	145	451
243	145	450
244	145	448
245	145	447
246	146	445
247	146	444
248	146	442
249	147	441
250	147	439
251	147	438
252	147	436
253	148	434
254	148	433
255	148	431
256	148	430
257	149	429
258	149	427
259	149	426
260	150	424
261	150	423
262	150	421
263	150	420
264	151	419
265	151	417
266	151	416
267	151	414
268	152	413
269	152	411
270	152	410
271	152	409
272	153	407
273	153	406
274	153	404
275	153	403
276	154	402
277	154	400
278	154	399
279	154	398
280	155	397
281	155	395
282	155	394
283	155	393
284	156	391
285	156	390
286	156	389
287	157	388
288	157	386
289	157	385
290	157	384
291	158	383
292	158	382
293	158	381
294	158	379
295	159	378
296	159	377
297	159	376
298	159	374
299	160	373
300	160	372
301	160	371
302	160	370
303	161	369
304	161	368
305	161	366
306	162	365
307	162	364
308	162	363
309	162	362
310	163	361
311	163	360
312	163	358
313	163	357
314	164	356
315	164	355
316	164	354
317	164	353
318	165	352
319	165	351
320	165	350
321	165	349
322	166	348
323	166	347
324	166	346
325	167	345
326	167	344
327	167	343
328	167	342
329	168	341
330	168	340
331	168	339
332	168	338
333	169	337
334	169	336
335	169	335
336	169	334
337	170	333
338	170	332
339	170	331
340	170	330
341	171	329
342	171	328
343	171	327
344	171	326
345	172	325
346	172	324
347	172	323
348	172	322
349	173	321
350	173	320
351	173	319
352	174	319
353	174	318
354	174	317
355	174	316
356	175	315
357	175	314
358	175	313
359	175	312
360	176	311
361	176	310
362	176	309
363	176	308
364	177	308
365	177	307
366	177	306
367	177	305
368	178	304
369	178	303
370	178	302
371	178	302
372	179	301
373	179	300
374	179	299
375	179	298
376	180	297
377	180	296
378	180	296
379	181	295
380	181	294
381	181	293
382	181	292
383	182	292
384	182	291
385	182	290
386	182	289
387	183	288
388	183	287
